temperature,rainfall,humidity,yeild_apples
76.00,48.00,64.00,61.60
76.00,51.00,62.00,61.50
34.00,71.00,49.00,52.60
71.00,34.00,83.00,65.90
22.00,48.00,86.00,61.80
84.00,78.00,73.00,76.70
24.00,93.00,24.00,44.70
37.00,81.00,82.00,72.70
49.00,77.00,82.00,73.90
88.00,72.00,97.00,87.70
32.00,46.00,80.00,60.20
82.00,85.00,63.00,73.40
39.00,45.00,99.00,70.80
37.00,92.00,26.00,48.00
99.00,26.00,94.00,74.60
60.00,85.00,29.00,52.00
75.00,93.00,78.00,81.90
34.00,40.00,42.00,39.80
81.00,52.00,33.00,48.30
70.00,44.00,91.00,72.70
88.00,55.00,96.00,82.10
42.00,51.00,25.00,36.20
26.00,57.00,29.00,36.80
74.00,68.00,70.00,70.20
37.00,63.00,79.00,65.80
48.00,73.00,22.00,42.50
97.00,92.00,59.00,76.50
99.00,62.00,96.00,86.40
24.00,75.00,60.00,57.30
52.00,80.00,36.00,52.40
29.00,75.00,92.00,74.30
47.00,39.00,74.00,58.10
34.00,35.00,86.00,60.30
52.00,51.00,25.00,38.20
93.00,42.00,78.00,70.20
81.00,100.00,45.00,68.70
100.00,80.00,26.00,57.00
63.00,48.00,61.00,57.50
48.00,51.00,47.00,48.40
27.00,73.00,78.00,66.30
60.00,98.00,95.00,88.90
78.00,79.00,22.00,50.30
99.00,30.00,42.00,49.80
91.00,27.00,71.00,61.80
85.00,95.00,20.00,55.50
51.00,90.00,39.00,56.70
37.00,67.00,96.00,75.50
46.00,94.00,24.00,49.40
51.00,99.00,37.00,58.40
76.00,39.00,63.00,58.40
74.00,70.00,20.00,45.80
53.00,88.00,26.00,50.00
95.00,69.00,90.00,84.70
64.00,38.00,64.00,56.20
68.00,88.00,22.00,51.00
79.00,55.00,66.00,65.30
87.00,39.00,63.00,60.60
85.00,100.00,90.00,92.00
84.00,40.00,52.00,54.80
55.00,70.00,48.00,56.00
47.00,79.00,57.00,61.60
59.00,52.00,56.00,55.40
84.00,83.00,43.00,63.20
27.00,71.00,70.00,61.70
85.00,81.00,75.00,78.80
40.00,52.00,36.00,41.60
58.00,26.00,84.00,61.40
64.00,92.00,59.00,69.90
63.00,68.00,78.00,72.00
79.00,46.00,73.00,66.10
51.00,68.00,24.00,42.60
54.00,63.00,69.00,64.20
75.00,61.00,68.00,67.30
30.00,48.00,33.00,36.90
96.00,65.00,87.00,82.20
43.00,69.00,48.00,53.30
55.00,87.00,42.00,58.10
88.00,59.00,33.00,51.80
57.00,75.00,91.00,79.40
43.00,59.00,56.00,54.30
88.00,100.00,76.00,85.60
24.00,31.00,62.00,45.10
26.00,37.00,68.00,50.30
73.00,36.00,77.00,63.90
70.00,43.00,79.00,66.40
29.00,91.00,93.00,79.60
49.00,66.00,28.00,43.60
53.00,53.00,85.00,69.00
35.00,28.00,73.00,51.90
94.00,83.00,59.00,73.20
24.00,47.00,39.00,38.40
88.00,43.00,78.00,69.50
28.00,25.00,76.00,51.10
53.00,87.00,30.00,51.70
36.00,55.00,46.00,46.70
27.00,66.00,46.00,48.20
39.00,34.00,55.00,45.50
40.00,43.00,47.00,44.40
34.00,68.00,49.00,51.70
97.00,42.00,26.00,45.00
53.00,54.00,87.00,70.30
51.00,84.00,36.00,53.40
74.00,65.00,94.00,81.30
87.00,44.00,54.00,57.60
42.00,55.00,66.00,57.90
83.00,86.00,37.00,60.90
30.00,50.00,46.00,44.00
36.00,75.00,77.00,68.20
51.00,57.00,20.00,37.30
98.00,35.00,73.00,66.60
66.00,29.00,73.00,58.40
48.00,80.00,41.00,54.10
90.00,83.00,63.00,74.40
52.00,46.00,60.00,54.20
61.00,75.00,75.00,72.20
44.00,34.00,32.00,35.00
69.00,32.00,35.00,40.90
35.00,45.00,36.00,38.50
81.00,65.00,33.00,52.20
21.00,44.00,86.00,60.40
90.00,81.00,83.00,83.80
41.00,86.00,52.00,60.00
35.00,79.00,22.00,41.70
38.00,46.00,94.00,68.40
99.00,35.00,83.00,71.80
48.00,54.00,97.00,74.30
98.00,54.00,34.00,52.80
49.00,62.00,52.00,54.40
28.00,72.00,84.00,69.20
39.00,58.00,66.00,58.20
62.00,59.00,74.00,67.10
49.00,60.00,26.00,40.80
90.00,90.00,47.00,68.50
40.00,32.00,49.00,42.10
62.00,75.00,72.00,70.90
21.00,34.00,32.00,30.40
85.00,38.00,75.00,65.90
81.00,70.00,43.00,58.70
42.00,80.00,69.00,66.90
39.00,21.00,92.00,60.10
94.00,96.00,99.00,97.10
43.00,55.00,42.00,46.10
41.00,85.00,41.00,54.20
57.00,95.00,56.00,67.90
64.00,21.00,20.00,29.10
48.00,23.00,29.00,31.00
43.00,29.00,86.00,60.30
100.00,60.00,50.00,63.00
42.00,27.00,83.00,58.00
42.00,99.00,27.00,51.60
99.00,39.00,88.00,75.50
61.00,20.00,95.00,65.70
64.00,60.00,75.00,68.30
100.00,60.00,27.00,51.50
84.00,35.00,76.00,65.30
75.00,32.00,97.00,73.10
67.00,97.00,96.00,90.50
22.00,24.00,34.00,28.60
37.00,76.00,92.00,76.20
49.00,64.00,83.00,70.50
38.00,22.00,60.00,44.20
81.00,45.00,100.00,79.70
25.00,85.00,77.00,69.00
96.00,66.00,93.00,85.50
74.00,84.00,38.00,59.00
24.00,62.00,22.00,34.40
43.00,24.00,34.00,32.80
92.00,47.00,34.00,49.50
50.00,70.00,60.00,61.00
45.00,86.00,65.00,67.30
35.00,40.00,65.00,51.50
44.00,100.00,63.00,70.30
28.00,42.00,21.00,28.70
52.00,65.00,68.00,63.90
32.00,88.00,89.00,77.30
70.00,55.00,97.00,79.00
55.00,90.00,75.00,75.50
71.00,66.00,39.00,53.50
24.00,51.00,27.00,33.60
83.00,53.00,89.00,77.00
89.00,33.00,38.00,46.70
61.00,71.00,56.00,61.50
65.00,46.00,69.00,61.30
90.00,25.00,90.00,70.50
56.00,66.00,32.00,47.00
20.00,33.00,71.00,49.40
60.00,36.00,23.00,34.30
29.00,30.00,22.00,25.80
61.00,26.00,44.00,42.00
81.00,80.00,57.00,68.70
84.00,32.00,96.00,74.40
27.00,53.00,28.00,35.30
92.00,85.00,89.00,88.40
68.00,63.00,21.00,43.00
22.00,73.00,40.00,46.30
54.00,29.00,93.00,66.00
38.00,23.00,60.00,44.50
43.00,73.00,92.00,76.50
59.00,90.00,31.00,54.30
80.00,57.00,69.00,67.60
72.00,81.00,78.00,77.70
22.00,44.00,61.00,48.10
74.00,82.00,22.00,50.40
69.00,91.00,98.00,90.10
22.00,90.00,37.00,49.90
63.00,33.00,23.00,34.00
62.00,61.00,62.00,61.70
33.00,44.00,87.00,63.30
73.00,53.00,22.00,41.50
76.00,88.00,99.00,91.10
43.00,56.00,77.00,63.90
75.00,83.00,82.00,80.90
32.00,77.00,49.00,54.00
81.00,66.00,29.00,50.50
94.00,51.00,42.00,55.10
35.00,57.00,82.00,65.10
64.00,70.00,60.00,63.80
71.00,30.00,99.00,72.70
30.00,93.00,23.00,45.40
24.00,98.00,90.00,79.20
85.00,89.00,78.00,82.70
28.00,78.00,53.00,55.50
38.00,30.00,27.00,30.10
63.00,70.00,20.00,43.60
100.00,45.00,87.00,77.00
72.00,27.00,81.00,63.00
31.00,97.00,47.00,58.80
21.00,85.00,66.00,62.70
100.00,34.00,44.00,52.20
28.00,89.00,25.00,44.80
38.00,84.00,44.00,54.80
47.00,26.00,45.00,39.70
33.00,70.00,33.00,44.10
35.00,77.00,75.00,67.60
32.00,75.00,85.00,71.40
96.00,74.00,68.00,75.40
51.00,66.00,35.00,47.50
46.00,25.00,86.00,59.70
31.00,39.00,79.00,57.40
26.00,92.00,38.00,51.80
54.00,57.00,50.00,52.90
95.00,39.00,22.00,41.70
74.00,56.00,32.00,47.60
99.00,57.00,86.00,79.90
26.00,22.00,33.00,28.30
87.00,61.00,81.00,76.20
41.00,97.00,40.00,57.30
97.00,67.00,49.00,64.00
99.00,41.00,51.00,57.60
73.00,21.00,56.00,48.90
44.00,22.00,27.00,28.90
53.00,72.00,26.00,45.20
34.00,27.00,95.00,62.40
80.00,49.00,40.00,50.70
93.00,75.00,69.00,75.60
25.00,94.00,90.00,78.20
100.00,31.00,20.00,39.30
57.00,75.00,60.00,63.90
80.00,89.00,74.00,79.70
69.00,38.00,72.00,61.20
50.00,70.00,66.00,64.00
68.00,100.00,55.00,71.10
79.00,58.00,79.00,72.70
86.00,44.00,32.00,46.40
37.00,67.00,98.00,76.50
82.00,65.00,35.00,53.40
32.00,45.00,49.00,44.40
76.00,62.00,30.00,48.80
68.00,35.00,23.00,35.60
60.00,96.00,24.00,52.80
73.00,81.00,27.00,52.40
22.00,49.00,48.00,43.10
29.00,97.00,59.00,64.40
44.00,41.00,61.00,51.60
86.00,97.00,73.00,82.80
67.00,23.00,79.00,59.80
72.00,55.00,52.00,56.90
60.00,21.00,34.00,35.30
86.00,79.00,99.00,90.40
37.00,33.00,60.00,47.30
25.00,68.00,52.00,51.40
86.00,29.00,31.00,41.40
67.00,48.00,32.00,43.80
87.00,63.00,64.00,68.30
20.00,75.00,65.00,59.00
94.00,53.00,45.00,57.20
35.00,28.00,64.00,47.40
69.00,21.00,60.00,50.10
68.00,82.00,33.00,54.70
92.00,32.00,42.00,49.00
65.00,61.00,67.00,64.80
86.00,82.00,67.00,75.30
39.00,95.00,39.00,55.80
76.00,79.00,27.00,52.40
58.00,38.00,83.00,64.50
22.00,55.00,76.00,58.90
59.00,93.00,75.00,77.20
72.00,88.00,36.00,58.80
67.00,60.00,98.00,80.40
71.00,46.00,76.00,66.00
63.00,72.00,97.00,82.70
40.00,37.00,33.00,35.60
51.00,72.00,26.00,44.80
91.00,53.00,93.00,80.60
99.00,66.00,83.00,81.10
23.00,75.00,37.00,45.60
21.00,65.00,27.00,37.20
25.00,57.00,61.00,52.60
89.00,33.00,30.00,42.70
88.00,69.00,51.00,63.80
27.00,72.00,63.00,58.50
68.00,24.00,93.00,67.30
80.00,80.00,33.00,56.50
98.00,30.00,33.00,45.10
87.00,26.00,76.00,63.20
51.00,40.00,28.00,36.20
72.00,57.00,82.00,72.50
23.00,61.00,54.00,49.90
25.00,77.00,62.00,59.10
95.00,86.00,55.00,72.30
50.00,29.00,99.00,68.20
85.00,32.00,72.00,62.60
57.00,63.00,59.00,59.80
73.00,99.00,92.00,90.30
31.00,32.00,49.00,40.30
50.00,94.00,30.00,53.20
71.00,94.00,33.00,58.90
24.00,80.00,48.00,52.80
95.00,63.00,88.00,81.90
21.00,99.00,55.00,61.40
36.00,34.00,89.00,61.90
59.00,33.00,28.00,35.70
51.00,23.00,85.00,59.60
76.00,50.00,79.00,69.70
37.00,69.00,34.00,45.10
33.00,33.00,36.00,34.50
43.00,25.00,87.00,59.60
53.00,23.00,75.00,55.00
42.00,44.00,33.00,38.10
88.00,83.00,53.00,69.00
88.00,38.00,34.00,46.00
55.00,72.00,22.00,43.60
90.00,48.00,94.00,79.40
33.00,86.00,58.00,61.40
80.00,91.00,38.00,62.30
46.00,46.00,36.00,41.00
44.00,29.00,60.00,47.50
83.00,80.00,48.00,64.60
42.00,86.00,47.00,57.70
35.00,58.00,44.00,46.40
81.00,43.00,20.00,39.10
55.00,45.00,49.00,49.00
87.00,28.00,24.00,37.80
31.00,78.00,58.00,58.60
45.00,38.00,29.00,34.90
95.00,52.00,77.00,73.10
63.00,32.00,96.00,70.20
40.00,33.00,58.00,46.90
46.00,91.00,63.00,68.00
80.00,33.00,74.00,62.90
41.00,41.00,39.00,40.00
42.00,96.00,48.00,61.20
41.00,61.00,57.00,55.00
22.00,37.00,90.00,60.50
90.00,64.00,35.00,54.70
81.00,24.00,60.00,53.40
52.00,56.00,34.00,44.20
80.00,32.00,69.00,60.10
86.00,35.00,70.00,62.70
35.00,97.00,65.00,68.60
26.00,30.00,96.00,62.20
60.00,89.00,76.00,76.70
28.00,22.00,93.00,58.70
48.00,93.00,71.00,73.00
40.00,63.00,29.00,41.40
98.00,75.00,58.00,71.10
99.00,97.00,38.00,67.90
45.00,83.00,71.00,69.40
61.00,29.00,100.00,70.90
30.00,36.00,55.00,44.30
49.00,47.00,46.00,46.90
96.00,83.00,58.00,73.10
33.00,51.00,26.00,34.90
52.00,77.00,23.00,45.00
85.00,65.00,28.00,50.50
84.00,51.00,25.00,44.60
51.00,31.00,96.00,67.50
88.00,46.00,35.00,48.90
43.00,59.00,60.00,56.30
30.00,51.00,61.00,51.80
48.00,80.00,42.00,54.60
80.00,66.00,38.00,54.80
73.00,88.00,57.00,69.50
42.00,53.00,74.00,61.30
35.00,40.00,61.00,49.50
26.00,87.00,36.00,49.30
96.00,95.00,34.00,64.70
41.00,58.00,84.00,67.60
99.00,45.00,56.00,61.30
80.00,54.00,75.00,69.70
32.00,81.00,38.00,49.70
65.00,33.00,77.00,61.40
47.00,83.00,26.00,47.30
28.00,62.00,40.00,44.20
59.00,97.00,88.00,84.90
30.00,89.00,29.00,47.20
25.00,23.00,56.00,39.90
44.00,55.00,74.00,62.30
72.00,99.00,92.00,90.10
100.00,49.00,48.00,58.70
96.00,87.00,46.00,68.30
22.00,80.00,47.00,51.90
46.00,49.00,37.00,42.40
58.00,20.00,65.00,50.10
32.00,77.00,87.00,73.00
39.00,20.00,93.00,60.30
38.00,22.00,97.00,62.70
89.00,79.00,88.00,85.50
69.00,90.00,67.00,74.30
84.00,89.00,79.00,83.00
27.00,79.00,100.00,79.10
66.00,88.00,52.00,65.60
45.00,37.00,25.00,32.60
49.00,58.00,40.00,47.20
51.00,100.00,98.00,89.20
91.00,46.00,79.00,71.50
32.00,88.00,93.00,79.30
83.00,97.00,89.00,90.20
79.00,93.00,26.00,56.70
51.00,98.00,20.00,49.60
27.00,27.00,46.00,36.50
42.00,87.00,77.00,73.00
35.00,95.00,46.00,58.50
89.00,40.00,67.00,63.30
37.00,42.00,47.00,43.50
35.00,77.00,51.00,55.60
42.00,40.00,64.00,52.40
28.00,64.00,35.00,42.30
100.00,89.00,94.00,93.70
